interval_width,algorithm,replication_number,interval_start,interval_end,duration
10,sieve_of_sundaram,-1,136283,136293,0.05300259590148926
1000,naive_algorithm,-1,846305,847305,0.0059967041015625
1000,sieve_of_sundaram,-1,250465,251465,0.10100007057189941
1000,sieve_of_sundaram,-1,417005,418005,0.1770000457763672
10,sieve_of_sundaram,-1,192345,192355,0.07300019264221191
10000,naive_algorithm,-1,622410,632410,0.04700016975402832
100,sieve_of_sundaram,-1,634773,634873,0.2790377140045166
10000,sieve_of_eratosthenes,-1,554727,564727,0.07100033760070801
100,sieve_of_sundaram,-1,310819,310919,0.12800121307373047
100,naive_algorithm,-1,471592,471692,0.0
10,sieve_of_sundaram,-1,429407,429417,0.18100214004516602
10,naive_algorithm,-1,752423,752433,0.0009980201721191406
10000,sieve_of_sundaram,-1,641022,651022,0.2850010395050049
100,sieve_of_eratosthenes,-1,687530,687630,0.08999872207641602
1000,naive_algorithm,-1,424099,425099,0.004000663757324219
10000,sieve_of_sundaram,-1,176520,186520,0.07400012016296387
1000,naive_algorithm,-1,261346,262346,0.0030035972595214844
100,naive_algorithm,-1,444298,444398,0.0009953975677490234
1000,sieve_of_sundaram,-1,156433,157433,0.05900454521179199
100,sieve_of_sundaram,-1,432075,432175,0.17999744415283203
1000,naive_algorithm,-1,681659,682659,0.005002021789550781
100,sieve_of_eratosthenes,-1,741238,741338,0.09499835968017578
100,sieve_of_sundaram,-1,699672,699772,0.31399989128112793
10000,naive_algorithm,-1,245124,255124,0.03296303749084473
10000,sieve_of_sundaram,-1,510579,520579,0.22103524208068848
10,naive_algorithm,-1,426400,426410,0.0
1000,sieve_of_sundaram,-1,153830,154830,0.06000638008117676
10,naive_algorithm,-1,811308,811318,0.0
1000,sieve_of_eratosthenes,-1,154574,155574,0.018006324768066406
10,sieve_of_sundaram,-1,918692,918702,0.40699005126953125
1000,naive_algorithm,-1,804053,805053,0.0060024261474609375
10000,sieve_of_sundaram,-1,166919,176919,0.06999564170837402
10000,sieve_of_eratosthenes,-1,441306,451306,0.0559999942779541
10000,sieve_of_eratosthenes,-1,738848,748848,0.09700179100036621
100,naive_algorithm,-1,873183,873283,0.000997781753540039
10000,sieve_of_sundaram,-1,709799,719799,0.3149690628051758
10000,naive_algorithm,-1,217383,227383,0.03298330307006836
10000,sieve_of_eratosthenes,-1,879545,889545,0.11400055885314941
10,naive_algorithm,-1,730701,730711,0.0
10000,sieve_of_eratosthenes,-1,57054,67054,0.007000923156738281
10000,naive_algorithm,-1,769579,779579,0.05399894714355469
10000,sieve_of_sundaram,-1,823542,833542,0.3710012435913086
1000,sieve_of_sundaram,-1,64812,65812,0.023999929428100586
1000,sieve_of_eratosthenes,-1,139043,140043,0.015964746475219727
1000,sieve_of_sundaram,-1,838151,839151,0.3730344772338867
10000,sieve_of_eratosthenes,-1,142383,152383,0.017998933792114258
1000,sieve_of_sundaram,-1,507045,508045,0.21300077438354492
10,sieve_of_eratosthenes,-1,496322,496332,0.06400609016418457
10,sieve_of_eratosthenes,-1,325263,325273,0.039999961853027344
1000,naive_algorithm,-1,204195,205195,0.0029931068420410156
10,naive_algorithm,-1,406196,406206,0.0
10000,sieve_of_eratosthenes,-1,717683,727683,0.09400248527526855
10,sieve_of_eratosthenes,-1,324009,324019,0.04000496864318848
10000,sieve_of_eratosthenes,-1,417587,427587,0.05598640441894531
10,sieve_of_sundaram,-1,710621,710631,0.3130154609680176
10,naive_algorithm,-1,943395,943405,0.0
1000,sieve_of_sundaram,-1,859728,860728,0.3869597911834717
10000,naive_algorithm,-1,322366,332366,0.03603816032409668
10,sieve_of_sundaram,-1,683348,683358,0.3019583225250244
10000,sieve_of_sundaram,-1,594853,604853,0.26003384590148926
1000,naive_algorithm,-1,396122,397122,0.003996372222900391
100,naive_algorithm,-1,380054,380154,0.0
10,naive_algorithm,-1,159933,159943,0.0010001659393310547
